feedback_id,timestamp_,source,user_id,rating,feedback,escalated_flag,label,sample problem related,customer_type
T1225259,2025-05-03,escalation,WE4212048,,"Aapka bhada theek nahi hai.
Per kilometre ka hisab kya hai.",TRUE,,,Operator
T1226392,2025-05-04,escalation,WE1402134,,"bilti  needed
",TRUE,,,Consigner
T1227268,2025-05-05,escalation,WE7548002,5.0,please change my invoice nd meri invoice meri company k name bnime h nd payment maine ki h ,TRUE,,,Consigner
T1227317,2025-05-05,escalation,WE6670254,5.0,,TRUE,,,Operator
T1227573,2025-05-05,escalation,WE2390527,,,TRUE,,,Operator
T1227832,2025-05-05,escalation,WE6868833,,"#new  load not showing in aap 
9720137418 as per op kh rha hai do din se uske app me koi bhi load n show ho rha hai plz check 
",TRUE,,,Operator
T1228721,2025-05-05,escalation,WE93538,,"9891004543 - as per op poc plzz provide bilti 
(trip update ho ghi hai isilye ticket bna rha hu )",TRUE,,,Operator
T1228831,2025-05-05,escalation,WE2547641,,As per wheellseye application the loading point is sector 10 noida but the location given by the party is loni industrial area gaziabad  | Extra Distance : 30 | Extra Distance Expense : 1200,TRUE,,,Operator
T1229136,2025-05-06,escalation,WE7426354,,Balence payment not received ,TRUE,,,Operator
T1229269,2025-05-06,escalation,WE4572527,,55 kelomitar | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1229513,2025-05-06,escalation,WE3064912,,Mera balance payment nhi aya h,TRUE,,,Operator
T1229705,2025-05-06,escalation,WE7514940,,Shortage Issue,TRUE,,,Consigner
T1230781,2025-05-06,escalation,WE5989336,,Root change Kiya h party ne maine risk ley ke no entry m gadi kaise bhi karke lagwai abhi party dusre destination par bol rahi h ,TRUE,,,Operator
T1232186,2025-05-07,escalation,WE28621,,Arjant jarurat he transfer kar dijiye mere ko bahut argent hai sir please bahut jyada arjant he,TRUE,,,Operator
T1232392,2025-05-07,escalation,WE953470,,Cancellation charge nikal do g ,TRUE,,,Operator
T1234396,2025-05-08,escalation,WE6947283,,Need more time for current billing,TRUE,,,Consigner
T1235156,2025-05-08,escalation,WE1706630,,"WE35392-2289431
 AS PER OP VOC DRVER PHONE SWITCH OFF ",TRUE,,,Operator
T1235423,2025-05-09,escalation,WE7578850,5.0,"please issue invoice with the name of Raghu Marketing, because payment done by Raghu marketing",TRUE,,,Consigner
