feedback_id,timestamp_,source,user_id,rating,feedback,escalated_flag,label,sample problem related,customer_type
T1038082,2025-03-04,escalation,WE19959,,"Vehicle cancel hogeya hai   kyc issue ke wajah se kyc team se baat hua tha op ka Right fo ke name or no pe trip transfer ke liye abhi op bol rhe hai fo ke bhai ke name pr rc hai or unka mob no band hai sim nhi hai trip is no pe continue karna chahte hai.

Mob no - 9718454466 ",TRUE,,,Operator
T1038160,2025-03-04,escalation,WE7237965,,"WE35392-2255605
calling no. 8278963765 
op ki vehicle loading point se 45 km aage kanta parchi ke liye gyi thi abhi vehicle over load h or material bhi dusra load hua h packing box bola tha or lohe ke rod load hue h to abhi op trip cancel karna chahte h plz check and update to op ",TRUE,,,Operator
T1040177,2025-03-04,escalation,WE347828,,"WE35392-2254816
calling no. 9990909702 
op bol rhe h ki vehicle loacation per pahunch gyi h but abhi tak party se baat nhi ho pa rhi h plz check and provide right poc details ",TRUE,,,Operator
T1040290,2025-03-04,escalation,WE1160695,1,5000,TRUE,,,Operator
T1040497,2025-03-04,escalation,WE3187087,,25 किलोमिटर कि दूरी है आना जाना 50 Km,TRUE,,,Operator
T1042152,2025-03-05,escalation,WE992860,5,,TRUE,,,Operator
T1043355,2025-03-05,escalation,WE1345240,,Kal se gadi khadi,TRUE,,,Operator
T1043461,2025-03-05,escalation,WE1174277,,Exhausted my credit limit,TRUE,,,Consigner
T1048085,2025-03-06,escalation,WE4633266,,Please documents dila do ji,TRUE,,,Operator
T1049633,2025-03-07,escalation,WE7111343,1,Party ka unloading point se Bil adress ka kilometer atirikt hai  | Extra Distance : 30 | Extra Distance Expense : 1000,TRUE,,,Operator
T1049912,2025-03-07,escalation,WE6450703,,Party ke pass lebar nhi h  | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1050709,2025-03-07,escalation,WE5618431,,Issues with payment plan/amount,TRUE,,,Consigner
T1050778,2025-03-07,escalation,WE1174809,,Madam 48 ghante mein gadi Khali hui hai iska unloading charge bhi to lagega,TRUE,,,Operator
T1051374,2025-03-07,escalation,WE7062597,,"please create  invoice this GST
GSTIN No. 29AAFCN2323P1Z3",TRUE,,,Consigner
T1053249,2025-03-08,escalation,WE7373989,1,"why unloaded charges add in my account, I was paid to your driver and 5000 extra charges was there which we will not pay",TRUE,,,Consigner
T1053370,2025-03-08,escalation,WE2832476,,Pod not give from party,TRUE,,,Operator
T1053437,2025-03-08,escalation,WE187828,,"As per op vehicle unload hogeya hai but point change hua tha isliye app se trip update nhi hora hai.

Mob no - 9527959825",TRUE,,,Operator
T1055592,2025-03-08,escalation,WE7429126,1,AS PER OP VOC OP KA KYC PENDING SHOW HO RHA PLZ CHECK AND UPDATE 8600373619,TRUE,,,Operator
T1056129,2025-03-09,escalation,WE3250946,,,TRUE,,,Operator
T1056277,2025-03-09,escalation,WE3793558,,49 घंटे में गाड़ी खाली हुई है 3000,TRUE,,,Operator
T1056406,2025-03-09,escalation,WE7223650,1,Open Vehicle book Kiya but pack body vehicle aayi hai loading crane se hoti hai open truck chahiye kindly replace vehicle Asap,TRUE,,,Consigner
T1056584,2025-03-09,escalation,WE449720,5,मेरी गाड़ी अनलोडिंग के लिए नहीं हुई है टाईम टेबल से ज्यादा टाइम हो गया है,TRUE,,,Operator
T1056737,2025-03-09,escalation,WE1109740,,Balance amount nahi aya he,TRUE,,,Operator
T1057962,2025-03-10,escalation,WE4633266,,Gadi m 11ft choda Aya h or 8ft chodayi pe lgi thi please update,TRUE,,,Operator
T1058229,2025-03-10,escalation,WE7232671,1,.,TRUE,,,Consigner
T1058745,2025-03-10,escalation,WE7158662,,payment has been made in bank account please mark as paid,TRUE,,,Consigner
T1059973,2025-03-10,escalation,WE5789879,,Bhiwadi loading point per loading charge mang rahi hai level ₹100 | Loading Charge : 100,TRUE,,,Operator
T1060017,2025-03-10,escalation,WE25622,,Exhausted my credit limit,TRUE,,,Consigner
T1061112,2025-03-11,escalation,WE5792158,,Balance pement nahi mila hai abhi Tak 14 ghante ho gaya hai,TRUE,,,Operator
T1062803,2025-03-11,escalation,WE4175027,5,ओवरहेड की समस्या,TRUE,,,Operator
T1063150,2025-03-11,escalation,WE6774560,5,ओरवलोड की समस्या,TRUE,,,Operator
T1063330,2025-03-11,escalation,WE7386967,,Koi bhi document nhi mila he,TRUE,,,Operator
T1063851,2025-03-11,escalation,WE5344922,,Wallet se paise account main krne hai,TRUE,,,Operator
T1065269,2025-03-12,escalation,WE2162502,5,driver bol rha hai m holi k baad niklunga mera material urgent hai,TRUE,,,Consigner
T1065642,2025-03-12,escalation,WE2840856,,Issues from my organisation’s end,TRUE,,,Consigner
T1066500,2025-03-12,escalation,WE6384154,,,TRUE,,,Operator
T1067076,2025-03-12,escalation,WE7271450,,"worng vehicle number updated in eway bill
kindly resolve on urgent basis ",TRUE,,,Consigner
T1067749,2025-03-13,escalation,WE7277062,,payment not updated,TRUE,,,Consigner
T1067947,2025-03-13,escalation,WE196102,,Vehicle not loaded yet,TRUE,,,Operator
T1071065,2025-03-15,escalation,WE5599266,,Issues with payment plan/amount,TRUE,,,Consigner
T1071843,2025-03-15,escalation,WE2929447,5,लोडिंग पार्टी ने जाने से मना किया है जब तक उनका पेमेंट नही आता नही जाना है,TRUE,,,Operator
T1072651,2025-03-16,escalation,WE5210598,5,8247363562. Bad h,TRUE,,,Operator
T1075326,2025-03-17,escalation,WE7158662,,Exhausted my credit limit,TRUE,,,Consigner
T1075328,2025-03-17,escalation,WE2116807,,calling no . 9548684445 as per op voc vehicle abhi tk unload nhi hua hai pls check,TRUE,,,Operator
T1076190,2025-03-17,escalation,WE6544708,,please provide bilty,TRUE,,,Consigner
T1076236,2025-03-17,escalation,WE715383,,Balance payment nahi aaya hai,TRUE,,,Operator
T1077166,2025-03-18,escalation,WE1559720,,Bilty otp  | Loading Charge : 200,TRUE,,,Operator
T1077722,2025-03-18,escalation,WE6762623,,"Loading point par hai vehicle party response nhi kar rhe hai party bol rhe hai humare side se vehicle book nhi hua hai.

Mob no - 9540072569",TRUE,,,Operator
T1078261,2025-03-18,escalation,WE7402757,,"owner out of station ,Please allowed me for booking ,Cheque given by your Employee sunil gutte now",TRUE,,,Consigner
T1078771,2025-03-18,escalation,WE3936807,,Wrong or missing invoice/POD,TRUE,,,Consigner
T1079015,2025-03-18,escalation,WE25622,,Damage Issue,TRUE,,,Consigner
T1079219,2025-03-18,escalation,WE934832,,Unloading charge asked by labour. INR1000 | Unloading Charge : 1000,TRUE,,,Operator
T1080086,2025-03-18,escalation,WE2115163,,Builty nhi mili h gadi ko abhi tk,TRUE,,,Operator
T1080124,2025-03-19,escalation,WE4633266,,Please send bilty,TRUE,,,Operator
T1081512,2025-03-19,escalation,WE1733793,,Damage Issue,TRUE,,,Consigner
T1082914,2025-03-19,escalation,WE861708,,,TRUE,,,Operator
T1085645,2025-03-20,escalation,WE7338391,,Exhausted my credit limit,TRUE,,,Consigner
T1085994,2025-03-20,escalation,WE570967,,"# trip update issue 
9891197702",TRUE,,,Operator
T1086086,2025-03-20,escalation,WE5098202,,,TRUE,,,Operator
T1089328,2025-03-21,escalation,WE6105964,1,pls update current status of vehicle. its on hault since morning,TRUE,,,Consigner
T1089708,2025-03-21,escalation,WE5948507,,लोडिंग डिटेंशन की समस्या,TRUE,,,Operator
T1090109,2025-03-21,escalation,WE6496034,,"WE35392-2263166  op 25 km distance extra bta rha hai calling no. 8376963100 
op ki trip update ho gai hai
 ",TRUE,,,Operator
T1090850,2025-03-22,escalation,WE7106855,1,,TRUE,,,Operator
T1091109,2025-03-22,escalation,WE3258314,,E bay bill vehicle no change,TRUE,,,Operator
T1092146,2025-03-22,escalation,WE2548199,,Damage Issue,TRUE,,,Consigner
T1092226,2025-03-22,escalation,WE2199547,,Vehicle holding,TRUE,,,Operator
T1093065,2025-03-22,escalation,WE27427,,"Bilty nahi mila hai 
Party kowheel eye kiBilty Bhej do ",TRUE,,,Operator
T1094696,2025-03-23,escalation,WE5472515,,driver is asking to unload the vehicle,TRUE,,,Consigner
T1097646,2025-03-24,escalation,WE6763947,,999,TRUE,,,Operator
T1098393,2025-03-24,escalation,WE7352183,1,Party contact number chahie,TRUE,,,Operator
T1099118,2025-03-24,escalation,WE7012707,1,,TRUE,,,Operator
T1099358,2025-03-24,escalation,WE5322588,,"1000 किलो ग्राम बताया गया 
लेकिन 1450 किलो ग्राम  है ",TRUE,,,Operator
T1100135,2025-03-25,escalation,WE7271243,,Need more time for current billing,TRUE,,,Consigner
T1101708,2025-03-25,escalation,WE2654660,,,TRUE,,,Operator
T1102808,2025-03-25,escalation,WE999592,1,"Parking loding Rs 1000
Rupay liya gya hai 
Driver si | Loading Charge : 1000",TRUE,,,Operator
T1105225,2025-03-26,escalation,WE7494719,5,Builty milane mein deri,TRUE,,,Operator
T1105304,2025-03-26,escalation,WE7385638,,I make payment 71400/-,TRUE,,,Consigner
T1105767,2025-03-26,escalation,WE5578124,,Sar 30 ghante gadi khade ho gaye the aur koi Paisa nahin aaya,TRUE,,,Operator
T1106153,2025-03-26,escalation,WE7259302,,please arrange 17ft. vehicle,TRUE,,,Consigner
T1107182,2025-03-26,escalation,WE836648,,"op calling no - 9971640375
op ka jo overhight hai jis ke wajha se vehicle gir sakti hai sahi se load na hone ke wajha se  rasta sahi hai pls check nahi to op vehice unload kar denge ",TRUE,,,Operator
T1109798,2025-03-27,escalation,WE6215389,5,Unloading charges mang rhe h | Unloading Charge : 1000,TRUE,,,Operator
T1109856,2025-03-27,escalation,WE2751843,1,"उन की गलती थी गाड़ी 9 फूट थी समान की लंबाई 9,5 थी गाड़ी में नही आया था इस लिए कस्टमर ने खुद कैंसल किया मुझे मेरा टोकन और पैसे बजे दो ",TRUE,,,Operator
T1110738,2025-03-27,escalation,WE3756602,1,Vehicle has been loaded before 4 hrs but customer not give documents and not realse our vehicle,TRUE,,,Operator
T1112270,2025-03-28,escalation,WE6708394,,where is vehicle,TRUE,,,Consigner
T1113154,2025-03-28,escalation,WE3168405,1,Gadi unloading ki location jo dali hae app mae usse 7 km aage gadi unloading kae liye aayi hae 3 ghante sae jada jaam mae fasi hae gadi | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1113302,2025-03-28,escalation,WE101704,,CALLING NO -9810735312 AS PER OP VOC BILTI NAHI MILE HAI BAKI DOCUMENT MIL GAYA HAI PLEASE CHECK,TRUE,,,Operator
T1113530,2025-03-28,escalation,WE3116843,,Bil Mil Gaya Hai Lekin billty nahin Mili Hai Abhi Tak,TRUE,,,Operator
T1114513,2025-03-28,escalation,WE3040131,,सर हमें कोड नहीं मिल रही है₹400 लोडिंग चार्ज मांगा जा रहा है इसलिए पूरी नहीं दे रहे हो हमारे को,TRUE,,,Operator
T1115290,2025-03-29,escalation,WE46622,,Gadi abhi tak unlodig par nahi lagi h,TRUE,,,Operator
T1115599,2025-03-29,escalation,WE650951,,Pod kll rat ko 9:40 par jama kr di or abhi tk balance payment nhi aaya hai,TRUE,,,Operator
T1115682,2025-03-29,escalation,WE5074789,1,Calling no -- 9375514853  AS per op voc 2nd unloading point me hai vehicle parking nahi mil pa rahi hai party response nahi kar rahi hai chalan kat sakta hai plz checkk,TRUE,,,Operator
T1116092,2025-03-29,escalation,WE97348,,"CALLING NO - 9412203505
WE35392-2269618
OP KO PARTY BOL RHI HAI KI UNHE CONFIRM NHI HAI IS GAADI KA BOOK HUI HAI YA  NHI PLEASE CHECK ",TRUE,,,Operator
T1117358,2025-03-29,escalation,WE20305,,No contact pls unloading contact number,TRUE,,,Operator
T1118446,2025-03-29,escalation,WE4445929,,please check location difference,TRUE,,,Consigner
T1119751,2025-03-30,escalation,WE404105,,,TRUE,,,Operator
T1120012,2025-03-30,escalation,WE4344553,,Gadi Khali krne se party mna kr rahi h,TRUE,,,Operator
T1120673,2025-03-30,escalation,WE4833629,1,Gadi loading point per khadi Hui hai party ne location 25 kilometer aage ki Di hai kaha hai ki yahan per a jao yahan se loading next day hogi gadi subah se location per khadi Hui hai wheelchai ke detention Nahin chalu Hui hai,TRUE,,,Operator
T1120933,2025-03-30,escalation,WE238277,,AS PER OP VOC PARTY HAI JO PHN NHI UTHA RHI HAICU KR DE RHI HAI 9958578299,TRUE,,,Operator
T1123267,2025-03-31,escalation,WE96208,,Aaj resta bhi close h or parti nai aaj Khali nahi hogi mana ker deya,TRUE,,,Operator
T1149098,2025-04-02,escalation,WE373454,,Hamari taraf se koi Galti Nahin Hai party wale cancel Kiya,TRUE,,,Operator
T1151336,2025-04-02,escalation,WE3649786,,chenge loding time,TRUE,,,Consigner
T1153052,2025-04-03,escalation,WE522453,,Unloading visheshan waiting ke paise jod do,TRUE,,,Operator
T1153291,2025-04-03,escalation,WE5710617,,Party unload krne se mna kr rhi h...bol rhi h abi iss maal ki jrurt nhi h...wapis le jaao,TRUE,,,Operator
T1153831,2025-04-03,escalation,WE198867,,,TRUE,,,Operator
T1157671,2025-04-04,escalation,WE1799590,,WE35392-2244288 as per op kh rha hai es tri p me 20000 extra mla tha hai op kh rha hai ye paisha jo ye trip lgi hai delhi churcu ke trip se n ku ho  9899756980 next ko trip lge usme kut ho jaye plz check,TRUE,,,Operator
T1158203,2025-04-05,escalation,WE6507471,,,TRUE,,,Operator
T1158662,2025-04-05,escalation,WE242273,,8307831965,TRUE,,,Operator
T1160410,2025-04-06,escalation,WE5862689,,call me,TRUE,,,Consigner
T1161014,2025-04-06,escalation,WE7561768,,required final invoice,TRUE,,,Consigner
T1161264,2025-04-06,escalation,WE5691201,1,Cancel charge nahin Joda gaya hai,TRUE,,,Operator
T1162498,2025-04-07,escalation,WE6357959,,"calling no - 8932812796
#trip update issue
vehicle unload ho gyi hai trip end karna hai please end this trip",TRUE,,,Operator
T1163482,2025-04-07,escalation,WE7228357,,No entry about to start and bilty not received,TRUE,,,Operator
T1163484,2025-04-07,escalation,WE2999696,1,at the time of approval freight was 77400 but in invoice it's mention 84048/-,TRUE,,,Consigner
T1164069,2025-04-07,escalation,WE2623723,,"9037528100 - AS PER OP POC APP PAR TRIP UPDATE NHI HO RHI HAI PLZZ CHECK
",TRUE,,,Operator
T1166621,2025-04-08,escalation,WE3754582,5,I didn’t received my balance,TRUE,,,Operator
T1166798,2025-04-08,escalation,WE201050,,calling no. 8527882926 as per abhi tak bilti  nhi mili hai,TRUE,,,Operator
T1168345,2025-04-09,escalation,WE116996,,20 ton ki baat huyi thi lekin weight 20.960 aaya hai matlab 960 kg extra hai,TRUE,,,Operator
T1168890,2025-04-09,escalation,WE5956731,,live location not updated,TRUE,,,Consigner
T1169619,2025-04-09,escalation,WE774786,,Need contact no of unloading person to get location,TRUE,,,Operator
T1171140,2025-04-10,escalation,WE923241,,"Op voc material damage hone ke wajah se rc le liya hai op se party ne.
Mob no - 9829671958 ",TRUE,,,Operator
T1173214,2025-04-11,escalation,WE4356794,,"Party cancel the load after reached vehicle locationcn
Cancellation charges not received ",TRUE,,,Operator
T1173613,2025-04-11,escalation,WE5567620,,Dear team vehicle load and forward 1.15 PM . so pls avoid any dedentation or delay chrg thanks,TRUE,,,Consigner
T1174865,2025-04-11,escalation,WE958587,5,Gadi me 1 kata me 255 kg extra he 1 kante me 180 kg extra he,TRUE,,,Operator
T1176250,2025-04-12,escalation,WE2324890,,.,TRUE,,,Consigner
T1038686,2025-03-04,escalation,WE7354142,,"Gadi let nahi hui party ne lod cancel Kiya 
Token money chhiye ",TRUE,,,Operator
T1039263,2025-03-04,escalation,WE689500,,Material abhi ready Nahin Hai,TRUE,,,Operator
T1043472,2025-03-05,escalation,WE6632963,,₹500 charge mang rahe hain loading charge | Unloading Charge : 500,TRUE,,,Operator
T1043776,2025-03-05,escalation,WE202682,,Party na lid cancel Kiya h,TRUE,,,Operator
T1044282,2025-03-05,escalation,WE679633,,9899578045 as  per op kh rha hai loading point pe hai but app se trip update nho rha hai plc check,TRUE,,,Operator
T1044757,2025-03-05,escalation,WE410916,,"#trip update 
calling no . 9837593087 vehicle unload ho gya hai but app se trip update nhi ho raha hai pls trip update ",TRUE,,,Operator
T1045323,2025-03-06,escalation,WE253540,,"call no . 9350097047 , bilti nhi mila hai abhi tak .",TRUE,,,Operator
T1048234,2025-03-06,escalation,WE5706416,,.,TRUE,,,Operator
T1048777,2025-03-06,escalation,WE1267950,,Party gadi khali ke liye mna kr rhi hai,TRUE,,,Operator
T1049164,2025-03-07,escalation,WE2442300,5,"सभी कागजात लंबित हैं।
Otp",TRUE,,,Operator
T1049618,2025-03-07,escalation,WE790668,5,Driver ki tabiyat kharab hone ke karan se gadi late phuch payegi,TRUE,,,Operator
T1049876,2025-03-07,escalation,WE6812947,5,They demand unloading charge,TRUE,,,Operator
T1052857,2025-03-08,escalation,WE1317596,,Unloading detention add Kara De sar,TRUE,,,Operator
T1054534,2025-03-08,escalation,WE7108800,,Exhausted my credit limit,TRUE,,,Consigner
T1055188,2025-03-08,escalation,WE1501653,,"
8153096995
 as  per op kh rha hai ki  laod ho gya hai but trip update n ho rhha hai plz check ",TRUE,,,Operator
T1055479,2025-03-08,escalation,WE959151,5,Party bil Teri sim nahin de rahi hai,TRUE,,,Operator
T1055723,2025-03-08,escalation,WE7252503,,4.30 baze gadi bhargaya hai aabhi tal advance nahi aaya,TRUE,,,Operator
T1055883,2025-03-09,escalation,WE264597,,"Gadi loading point per gye but load nhi hue h  , payment kroo local faire ke AAP or dehadi doo or token refund amout also",TRUE,,,Operator
T1056366,2025-03-09,escalation,WE569603,,Sar Meri gadi ka balance delete karne ka kasht Karen cal se gadi Khali hokar khadi hai yah video uploading,TRUE,,,Operator
T1056563,2025-03-09,escalation,WE4572527,,Parti fon pik nahi kar rahi he,TRUE,,,Operator
T1057373,2025-03-09,escalation,WE3789366,,Cancelation charge add karwao,TRUE,,,Operator
T1057454,2025-03-09,escalation,WE2871419,5,.,TRUE,,,Consigner
T1058625,2025-03-10,escalation,WE635961,,Parti not respons bilti,TRUE,,,Operator
T1059318,2025-03-10,escalation,WE676611,,"calling no - 7262850885
as per op vehicle advance payment nhi mila tha isliye loading point par ruki thi  3 din iska detention mang rhe hai ",TRUE,,,Operator
T1063796,2025-03-11,escalation,WE5221724,1,Issues with payment plan/amount,TRUE,,,Consigner
T1064358,2025-03-12,escalation,WE108183,1,Pls make advance payment,TRUE,,,Operator
T1065313,2025-03-12,escalation,WE31785,,"CALLING NO - 9319308326
WE35392-2259292
AS PER OP VOC OP KI GAADI 4 DIN KHADI THI OP KO DETENTION CHAHIYE OP KA CANCELLATION CHARGE HI ADD HUA HAI ",TRUE,,,Operator
T1066346,2025-03-12,escalation,WE3109443,1,3000,TRUE,,,Operator
T1068549,2025-03-13,escalation,WE406351,1,calling no - 9971689040 as per op voc op ye number previous 1-2 years se use kr raha hai but document bahut pahle ka dusare op ka uploaded aa raha hai pls check,TRUE,,,Operator
T1068712,2025-03-13,escalation,WE3219882,,Party cancel plz cancellation charge,TRUE,,,Operator
T1071490,2025-03-15,escalation,WE3258314,,Ka25ac0813,TRUE,,,Operator
T1072653,2025-03-16,escalation,WE20802,,Unloading party bol rahi ki.monday gadi khali hogi,TRUE,,,Operator
T1073288,2025-03-16,escalation,WE414441,,Bilty nhi mili,TRUE,,,Operator
T1073465,2025-03-16,escalation,WE7275940,,"calling no - 9758363902
abhi tak bilty nhi mili hai please share bilty urgent",TRUE,,,Operator
T1074416,2025-03-17,escalation,WE4822429,,Wrong or missing invoice/POD,TRUE,,,Consigner
T1075149,2025-03-17,escalation,WE688853,,I don’t get trips,TRUE,,,Operator
T1076192,2025-03-17,escalation,WE25622,,Damage Issue,TRUE,,,Consigner
T1077162,2025-03-18,escalation,WE2726397,1,I don’t like any load from wheelseys,TRUE,,,Operator
T1077165,2025-03-18,escalation,WE404105,,Vehicle not unload,TRUE,,,Operator
T1077532,2025-03-18,escalation,WE4706582,5,Otp generate nahi hua hai,TRUE,,,Operator
T1078456,2025-03-18,escalation,WE538375,,9920752841 - AS PER OP POC PARTY KOI BHI REPO,TRUE,,,Operator
T1079378,2025-03-18,escalation,WE1236147,,Party surat ka v mal dal di hai 500 ka toll v jata ha+80 kilometre runing v hai no entry ka mal hai time v jata hai 2 point unloading ho gayi hai | Extra Distance : 80 | Extra Distance Expense : 2500,TRUE,,,Operator
T1079691,2025-03-18,escalation,WE5994580,,| Unloading Charge : 3000,TRUE,,,Operator
T1080661,2025-03-19,escalation,WE7225573,,Gadi ko 24hours ho chuke h,TRUE,,,Operator
T1081163,2025-03-19,escalation,WE76986,,"Vehicle need additional unloading point 

For transhipment  | Extra Distance : N/A | Extra Distance Expense : N/A",TRUE,,,Operator
T1081557,2025-03-19,escalation,WE708110,,calling no 9813345192 as per op voc trip end ho gya hai unloading charge lga h op 950rs union charge laga hai op ke pass main iska parchi bhi diya hai plz look,TRUE,,,Operator
T1083264,2025-03-19,escalation,WE5656031,,Unhappy with my payment plan,TRUE,,,Consigner
T1084787,2025-03-20,escalation,WE7490941,5,My money no refund trip cancel,TRUE,,,Operator
T1085229,2025-03-20,escalation,WE6788922,,Humne load ke liye payment lagaya tha jismein hamen load nahin mila,TRUE,,,Operator
T1091326,2025-03-22,escalation,WE627161,,Calling no. 9818093893  As per OP Uski gaadi unload ho chuki  hai uske application pe trip update krne ka option nahi aa rha hai.,TRUE,,,Operator
T1091559,2025-03-22,escalation,WE2787109,,calling no 8368449618 as per op voc op bol rha hai mujhe 9500 main load confirm karne ke liye bola gya tha but show 8600rs plz look,TRUE,,,Operator
T1091771,2025-03-22,escalation,WE7255861,1,Issues from my organisation’s end,TRUE,,,Consigner
T1092886,2025-03-22,escalation,WE1842924,,Gadi unload nahi hui hai 3117,TRUE,,,Operator
T1093400,2025-03-22,escalation,WE493875,,Party se bilti milane mein deri,TRUE,,,Operator
T1093823,2025-03-23,escalation,WE6495059,,1500 kar do,TRUE,,,Operator
T1095804,2025-03-23,escalation,WE404105,,Total weight 21 ton,TRUE,,,Operator
T1095828,2025-03-23,escalation,WE3835434,,Please share the bilty bill ASAP,TRUE,,,Operator
T1096992,2025-03-24,escalation,WE686677,,"CALLING NO - 6375214262 
WE35392-2264097
OP KA 1300 RS BALANCE NHI GYA HAI ",TRUE,,,Operator
T1097277,2025-03-24,escalation,WE7413916,,payment will be 7 days,TRUE,,,Consigner
T1097495,2025-03-24,escalation,WE768888,,Your wheelseye ad irritate me.,TRUE,,,Operator
T1098584,2025-03-24,escalation,WE650361,,,TRUE,,,Operator
T1099117,2025-03-24,escalation,WE1318394,,Unloading charge dalo  | Unloading Charge : 1500,TRUE,,,Operator
T1100082,2025-03-25,escalation,WE6636182,,9991203986,TRUE,,,Operator
T1100342,2025-03-25,escalation,WE3143246,,Unloading dusre din ki hai detention charge dijiye iska,TRUE,,,Operator
T1100707,2025-03-25,escalation,WE44600,,Location per Gadi Paducahne ke bad 2 k.m Extra Gadi Chali hai jisme 730 toll tax bhi lga hai  | Extra Distance : 2 | Extra Distance Expense : 500,TRUE,,,Operator
T1101237,2025-03-25,escalation,WE1973152,,,TRUE,,,Operator
T1101351,2025-03-25,escalation,WE7297806,,"Raise invoice on Nishka Technologies 
gst no 24ARMPB7610E1Z7",TRUE,,,Consigner
T1102236,2025-03-25,escalation,WE37508,5,48 ghanta se jada time me anloding ki hai iska ditentoin chahiye,TRUE,,,Operator
T1102790,2025-03-25,escalation,WE7521995,,require truck for 12 ton,TRUE,,,Consigner
T1102809,2025-03-25,escalation,WE7518836,,,TRUE,,,Operator
T1103358,2025-03-25,escalation,WE7379436,1,Otp page  and e-way bill page have not given,TRUE,,,Operator
T1103799,2025-03-26,escalation,WE7291039,,"24AAJFI6185M1ZU this gst per invoice  chahiya  , payment  kotak  ac kiya  hai. ",TRUE,,,Consigner
T1105285,2025-03-26,escalation,WE5139153,,Gadi Khali karne ka mang rahe hi | Unloading Charge : 3000,TRUE,,,Operator
T1109841,2025-03-27,escalation,WE2309459,,Builty jama karane mein problem ho rahi hai,TRUE,,,Operator
T1111160,2025-03-27,escalation,WE2267663,,driver not move more than12 hours  I am not pay today any how delivery location reached,TRUE,,,Consigner
T1116476,2025-03-29,escalation,WE5883000,,too much delay,TRUE,,,Consigner
T1116649,2025-03-29,escalation,WE7081734,,"Party says unloading location is incorrect 

Other location share for unloading  | Extra Distance : N/A | Extra Distance Expense : N/A",TRUE,,,Operator
T1116828,2025-03-29,escalation,WE428392,,"As per op mrng se vehicle unloading par hai unloading time 1 april ka hai or party ne jaldi vehicle pohonchane ke liye bola tha abhi party bol rhe hai jab tak dusra vehicle nhi ayega vehicle unload nhi karenge.

Mob no - 9599446517",TRUE,,,Operator
T1118846,2025-03-29,escalation,WE2629132,,Cancellation,TRUE,,,Operator
T1119454,2025-03-30,escalation,WE2741353,,Location sahi nahi h | Extra Distance : N/A | Extra Distance Expense : N/A,TRUE,,,Operator
T1120793,2025-03-30,escalation,WE1977570,,300 | Unloading Charge : 300,TRUE,,,Operator
T1120917,2025-03-30,escalation,WE6027629,1,please call me 9971091377 we are facing issues due to not clear position,TRUE,,,Consigner
T1121233,2025-03-30,escalation,WE7214086,5,"Loading party se baat nahin Ho Pa Rahi Hai sar 0
Jab tak baat nahin hogi location kaise chalaun ji",TRUE,,,Operator
T1123906,2025-03-31,escalation,WE501593,,Loding point 2.jagah se duri astra hai kiraya disal ka smsya hai ji | Extra Distance : 150 | Extra Distance Expense : 5000,TRUE,,,Operator
